Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,PER,SOLV,NEMP,SORA,CPI
QAF LTD,1071.0,2021.0,649670807.962418,413446785.386086,177415852.99933,255849679.852486,211237708.159685,-23462307.5563908,-17539395.4577446,,393821128.109932,38531480.2440405,721880620.390654,82314125.8735657,54424060.5217218,-28020271.7632055,80779761.685133,-22262337.1062279,374.518193680904,9.72,20.42,9000.0,0.15378023715415018,2.30485959
QAF LTD,1071.0,2022.0,494391628.08913,278496199.982285,165560757.362902,122936186.081171,88786997.5978732,-130157664.404511,-8290197.61794806,,371455442.007959,14434775.7752538,429512855.379045,41878624.5507002,20580841.363728,-21232336.2155557,39004163.8174653,-19747136.1937523,355.103959155811,24.601,16.564,9000.0,1.5047336,6.12106004
QAF LTD,1071.0,2023.0,507477637.774944,294309879.90135,174701960.059047,137022602.423787,107569393.896282,-126462917.702079,-10171394.1028118,,370455035.351157,20844077.4616599,476710156.508088,47401790.7099724,39008797.9769111,-18854846.4199305,43661459.9826336,-30092522.9644775,355.5617977063,17.058,18.097,,3.617463453815261,
QIAN HU CORPORATION LIMITED,321.0,,,,,,,,,,,,,,,,,,,,,,,
QIAN HU CORPORATION LIMITED,321.0,2003.0,,,,,,,,,,,,,,,,,,,,637.0,0.4880463576158941,
QIAN HU CORPORATION LIMITED,321.0,2004.0,39712327.2980452,25735096.2296724,8606316.60765409,16680744.3644404,12144693.4164762,5580242.40893126,-741828.869104385,,23031582.9336047,996449.999094009,40085690.0126934,3839515.26063681,2439711.11571789,-1364916.15355015,-1909658.47492218,-1746235.77851057,,,10.639,766.0,0.6823102310231023,1.662727199
QIAN HU CORPORATION LIMITED,321.0,2005.0,41113448.5155344,26374835.1484537,7610263.30292225,16763009.5034838,11927653.1040668,4427953.43697071,-697632.506489754,,24350439.0120506,1230621.33789063,39819132.9091787,4031366.48237705,2644513.91994953,-1412089.91408348,4025958.47845078,-989063.829183578,,,8.448,603.0,1.8628145695364235,0.425106277
QIAN HU CORPORATION LIMITED,321.0,2006.0,49127768.5960531,30426987.0653749,17451107.5252295,21430898.7632394,15380703.4348249,5440025.86096525,-928292.010307312,,27696869.8328137,1705997.32512236,49616034.5481038,5221642.55797863,3720338.83625269,-1503259.39309597,5640808.12162161,-4332463.97507191,,,8.079,608.0,2.9766791044776117,0.962901778
QIAN HU CORPORATION LIMITED,321.0,2007.0,61631276.8869996,36111572.1638203,23454758.9319348,28327087.341249,19687759.3685389,6815153.75053883,-1112267.50785112,,33304189.5457506,3433249.92442131,63641407.2489738,7378573.09949398,5884679.18533087,-1560505.06871939,6001942.57199764,-6169164.32458162,,,9.982,637.0,2.16956,2.104880036
QIAN HU CORPORATION LIMITED,321.0,2008.0,69838800.9281158,39002919.1787839,28755559.3004823,32602140.8224702,22076848.7532735,7244302.55568027,-1243746.55425549,,37236660.1056457,4198860.57394743,64662313.872695,8271262.0010376,6630767.24427938,-1684963.90730143,6822540.45599699,-7518065.76371193,,,10.808,,0.5572222222222222,6.62778177
QIAN HU CORPORATION LIMITED,321.0,2009.0,73939718.5165286,38499359.0587378,32960667.2585607,31737922.4844575,20260795.4002619,4997862.38086224,-1279749.19247627,,42201796.0320711,4662961.42292023,67415562.8337264,9101467.94849634,7248824.35137033,-1876157.91970491,8719538.34539652,-4796921.80609703,45.1226312210148,9.677,14.738,,0.1634920634920635,0.596720257
QIAN HU CORPORATION LIMITED,321.0,2010.0,83392081.8985105,46555124.8673797,34187112.2739911,34694099.8586416,23041149.3869424,3651397.56602049,-607142.865538597,,48697982.0398688,3267857.18804598,70778727.6868224,6656055.99266291,4472049.75128174,-2166149.09827709,3149068.36652756,-972049.702882767,42.3080446704511,12.947,11.566,,0.06964285714285715,2.823661349
QIAN HU CORPORATION LIMITED,321.0,2011.0,81452292.6047444,46678710.1373076,10030752.3867488,32683169.6721911,21390788.9673114,5667717.22197533,-422849.223017693,,48769122.9325533,2664718.92178059,67918042.2011018,3977089.14667368,3081417.61064529,-1676020.55668831,1270854.11936045,-1255477.78397799,28.9773387749056,10.874,7.3,,0.02296,5.247793398
QIAN HU CORPORATION LIMITED,321.0,2012.0,63704126.0203123,46680832.5873613,5821822.50446081,20769921.87047,18928483.417213,4128320.29622793,-389865.131914616,,42934204.1498423,-7467919.7281003,69017570.931375,3102574.50890541,915406.5990448,-2241111.51301861,2929301.11694336,-1223538.99890184,34.517278764223,,2.716,,0.026215139442231077,4.575602704
QIAN HU CORPORATION LIMITED,321.0,2013.0,59975500.7683635,44768830.188632,5581285.15326977,19672805.1593304,19195448.0037689,4990120.99373341,-309017.628848553,,40302695.6090331,238678.577780724,65962223.3732939,2364656.63814545,702600.184261799,-1696830.81620932,2904449.5806098,-1473958.76675844,30.8647340579424,129.315,3.421,,0.03772908366533865,2.358604154
