Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,SOLV,SORA,CPI,Company Code,SIZE,PROFITABILITY,TANG,RISK,LIQUID,NDTSHIELD,TAXRATE,FCFF,GROWPOT,LEVERAGE
HONG FOK CORPORATION LTD,68,2015.0,1989278567.96229,293512267.604947,1714406.93950653,585576766.643405,53652308.5907698,409990093.534589,-940660.573244095,-115152413.96403356,1403701801.31888,118115141.137958,42836833.7892294,2312044.67213154,2022066.60068035,333828.413963318,24656623.2364178,-599052.259802818,403037846.282651,0.132,0.2525032258064516,-0.52261817,223,21.411037881291243,0.0011622528435018,0.0008618234605838,2.117636257947453,5.4706363121053485,0.0001678138091565,-0.0080278621139231,-90821166.1692016,0.2871249761907889,0.2060998897477495
HONG FOK CORPORATION LTD,68,2016.0,2004649790.3198,226594758.394718,1453363.75164986,571772797.928452,57514346.7904329,454251537.114143,-919587.911367416,-41314388.32175733,1432876992.39135,50463942.330122,40403788.8636589,8735393.73850822,8229966.09699726,492290.671348572,13302910.8381271,-280716.309785843,379233660.019573,0.443,0.1981369047619047,-0.53226874,223,21.418735214279007,0.0043575659851862,0.0007249963353539,-54.05258351743566,3.939795390885156,0.0002455744009381,-0.0185609020877525,-28497593.49029991,0.2646658869067778,0.2265989497555464
HONG FOK CORPORATION LTD,68,2017.0,2343217078.8703,223142297.629595,1636989.34864998,660016448.634982,186681128.106236,558391431.630492,-3328594.88672018,-122843032.51075771,1683200630.23531,133226093.836427,52352984.3106866,7433038.92999887,7054466.43894911,386054.160833359,7664970.69329023,-472093.363344669,560172407.849396,0.381,0.5612424,0.57626031,223,21.57479064214631,0.0031721512262032,0.0006986076379398,-0.4829563595457344,1.1953125626207368,0.0001647539036457,-0.0256247804125076,-117853794.1874175,0.3328019237796294,0.2383011956791049
HONG FOK CORPORATION LTD,68,2018.0,2476513799.94702,200778870.728374,2109466.60983562,623887022.719502,135790593.400836,519062871.601224,-3407825.35684109,-100202961.15362632,1852626777.22752,138423946.299672,96077814.5703077,35408851.4716625,34813159.7892046,554660.029053688,59706917.3679352,-1274179.37982082,433775108.009717,1.68,1.0422362549800797,0.438620118,223,21.630117682336024,0.0142978615634687,0.0008517887563884,4.71138026520396,1.4785918943273275,0.0002239680752296,-0.0252401367558474,-41751000.8487287,0.2341405799277429,0.2095941769483894
HONG FOK CORPORATION LTD,68,2019.0,2575463992.47676,192641780.568302,4050623.62128496,634058805.16696,45294686.4567399,526356159.834802,-3708432.40094185,-47863718.590378754,1941405187.3098,83516926.1728525,84059533.0753922,33366984.2448235,31944775.1815319,1370249.44198132,41028059.2668653,-1690172.25319147,503786838.457491,1.413,1.48333,0.565260569,223,21.66929554608273,0.0129557176269178,0.0015727743168288,0.6586803138444641,4.253076809622924,0.0005320398366989,-0.0464666381443107,-7369553.162302242,0.2594959783514265,0.2043733328721937
HONG LAI HUAT GROUP LIMITED,41,2015.0,101111817.197084,17387368.0696487,11308437.5230074,26028007.3353052,13101350.7208824,4319966.00103378,-1459792.04750061,1340264.5009756098,75083809.8617792,3882169.83950138,4048376.78289413,6666666.58902168,3762642.29297638,2935143.89395714,-7107999.06849861,-2586462.94462681,25189121.599973302,14.737,0.2525032258064516,-0.52261817,224,18.43173756338243,0.0659336047341254,0.1118409087729612,18.353002227626025,1.327143165622974,0.0290286929393826,-0.6026277372262773,-2373591.059388552,0.3354800674918284,0.0427246401141563
HONG LAI HUAT GROUP LIMITED,41,2016.0,110501278.811216,24027518.4270144,24627670.537591,20080204.6029568,6193735.72182655,157643.6419487,-481227.959632874,498513.44668865344,90421074.2082596,4358708.41598511,7152043.12419891,5546567.08645821,4375993.90304089,1190624.34840202,-4350411.38219833,-141049.574375153,46035180.572014704,9.251,0.1981369047619047,-0.53226874,224,18.52053765180729,0.0501945963533521,0.2228722672039453,0.2126289898875047,3.879325742353214,0.0107747562852745,-0.1241084165477889,-3648978.646638214,0.5091200361763627,0.0014266227834161
HONG LAI HUAT GROUP LIMITED,41,2017.0,114312432.623506,22308842.9607153,63624868.0066466,24742630.1413178,10126440.0520921,4802483.83408785,-2135268.55623722,4587011.74432039,89569802.4821877,1335478.05637121,9426903.9273262,6023492.3427701,3787221.24445438,2818345.00747919,-6139458.22441578,-249887.77077198,34869430.754529096,9.134,0.5612424,0.57626031,224,18.554445894709005,0.0526932390863274,0.5565874730021576,-0.4230057029454252,2.2030291835980744,0.0246547548923357,2.669784845650136,-13548893.151129182,0.3892989577761255,0.0420119117743306
HONG LAI HUAT GROUP LIMITED,41,2018.0,109807298.882604,39781653.3915997,60827960.7555866,15345838.3731842,5634525.26211739,-17143171.333909,2064038.70785236,-5200029.36089038,94461460.5094194,5561254.45246696,25194900.6063938,5123095.01075745,2425263.79942894,2767438.48049641,90123.095870018,-332649.475812912,35775085.2935066,8.372,1.0422362549800797,0.438620118,224,18.51423755917104,0.0466553231241449,0.5539518900343623,-0.2149984963415299,7.060338101430433,0.0252026824141727,0.2706831940040355,-3369696.232886879,0.3787267855120578,-0.156120508457611
HONG LAI HUAT GROUP LIMITED,41,2019.0,112349320.037901,44133760.0606084,59044686.8160367,17272120.4038262,8029988.33334446,-6750297.08850384,-483224.478185177,1945516.6779160567,95077199.6340752,1342785.07071733,21780730.9729457,5641330.31368256,2805077.27044821,2830314.80079889,-6216597.54961729,-319922.811210155,28499748.7598602,35.393,1.48333,0.565260569,224,18.53712350440018,0.0502124117153486,0.5255455644601854,-1.155683555849413,5.4961175818080985,0.0251920955092926,-0.5621761658031122,-2857434.95399422,0.299753767144463,-0.0600831147551817
