,Company,NACE,Consolidation code,Year,TE,TL,CA,CFO,CFF,CFI,CL,DA,EBIDTA,TDA,FA,LTD,ND,NI,NP,EBIT,DeltaLTB,DeltaSTB,LB,TA,ITE,IA
10064,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2008,12501389.9464607,21729433.5146546,30283491.519928,-1897582.03333616,-382851.592957973,-27098.3886122704,19034186.0934496,351584.221482277,3576292.46634245,-351584.221482277,3947331.94118738,2622290.22109509,15235547.8743911,2403418.62076521,2028904.99353409,3173290.78954458,653835.479080677,-118121.181130409,4796414.78437185,34230823.4611154,-374513.627231121,n.a.
10065,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2009,12935727.6393175,13000570.1652169,22203220.9563255,136810.604095459,1220607.10841417,-20664.1016602516,8572039.4128561,342739.065468311,1685193.118155,-342739.065468311,3733076.8482089,4372951.44444704,8748753.10981274,156049.595296383,128259.941339493,1373093.92756224,-1658116.01942778,3562776.14831924,3911928.21085453,25936297.8045344,-27789.6539568901,n.a.
10066,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2010,16263198.982656,18802018.8935399,26826087.3274803,3427795.0784564,812111.812472343,-305900.625348091,13774068.513453,410714.291393757,1631211.20268106,-410714.291393757,7992236.13536358,5027950.3800869,9673913.17725182,1827639.7768259,2178571.45869732,5236801.31465197,-3788819.92816925,5155279.57439423,5194099.45070744,35065217.8761959,350931.681871414,n.a.
10067,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2011,16265087.5675678,15841469.527781,23034519.2196965,398247.086405754,-2149611.68646812,-1952025.77680349,10352117.7962422,-75344.0433740616,1021757.48616457,-488967.465162277,8857537.99706697,5477819.48000193,10745751.9820333,536634.104847908,472053.49624157,497424.449622631,-4406088.90384436,3112170.28141022,3447374.39274788,32106557.0953488,-64580.6086063385,n.a.
10068,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2012,17244789.136827,17175316.3145781,24764200.4861236,4416019.51307058,-1736003.22890282,-460972.608804703,11722108.4316969,514098.884642124,759297.080814838,-552513.268709183,9396812.20465899,5453207.88288116,10185533.0690145,84184.7140192986,81732.7320575714,179812.010526657,-2487944.36383247,1225990.98086357,3084593.30785275,34420105.451405,-3269.30928230286,n.a.
10069,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2013,17134276.7095566,23357306.9130182,38163281.999588,-2133881.32452965,-625938.52186203,-584841.548204422,23119418.661654,538212.289631367,1377538.94394636,-538212.289631367,2212913.96617889,237888.251364231,17071050.5962372,515292.823553085,297953.059017658,848810.571312904,-2521141.26861095,2370979.24947739,8459653.96213531,40491583.6225748,-216549.438118935,n.a.
10070,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2014,25132066.9024587,28900325.4355192,34835389.3873692,1990463.93692493,4631045.18252611,-3087111.17821932,18036781.9561958,649360.478281975,2535381.82079792,-649360.478281975,18941951.1077404,10863543.4793234,19048664.1933322,8699008.5517168,8699008.5517168,9458866.26756191,-6132596.68475389,11390297.4337339,2225838.18954229,54032392.3379779,756.830394268036,n.a.
10071,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2015,21346629.6403408,25276893.4038877,28544451.1846304,-468208.495855331,-4128297.56844044,-1044628.32081318,15549897.2656727,855788.942575455,1652875.00727177,-855788.942575455,17719074.6928453,9726996.13821507,14051912.9843712,-1346629.87327576,-1368555.04453182,840936.407208443,-2660725.62146187,n.a.,4960039.54899311,46623523.0442286,-26876.0163784027,91237.0029687881
10072,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2016,19102537.4550819,21492774.605155,23605752.5428534,7282029.98685837,-4559911.48531437,-123764.087319374,12307266.7837143,867731.450200081,1263223.39403629,-867731.450200081,16699163.3348465,9185507.8214407,11610315.9456253,-1566065.12725353,-1682223.60026836,434211.434841156,-10248910.9851122,3715688.29751015,1796307.8148365,40595312.0602369,-116158.473014832,73290.4651165009
10073,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2017,21809067.4191713,26877150.5305767,46443213.3486271,1434984.26449299,1240460.85011959,-347897.644937038,24934909.0547562,702528.79267931,1272632.03018904,-702528.79267931,1941493.30884218,1942241.47582054,8936854.55650091,1384108.90996456,1161155.15041351,1881639.95057344,5693550.70531368,n.a.,11358671.0654497,48686217.949748,-222953.759551048,56860.6903553009
10074,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2018,21107122.1359968,19402843.103528,32361518.4983015,12575469.0603018,-6484466.65406227,-6549677.67465115,14105363.5658026,599355.222940445,1119577.97145844,-533411.494255066,5924677.66833305,5297479.53772545,2415738.59417439,-116500.58734417,-182444.316029549,616940.217256546,-5892438.51208687,n.a.,814038.695216179,40509965.2395248,-65943.728685379,2019343.51396561
